[23:52:42] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[23:52:42] [INIT] Loaded plugins:
[23:52:42] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[23:52:42] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[23:52:42] [INIT] - com.blakebr0.cucumber.compat.kubejs.CucumberKubeJSPlugin
[23:52:44] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[23:52:44] [INFO] Loaded script startup_scripts:example.js in 0.106 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_roof_condition.js in 0.009 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_move_condition.js in 0.004 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb_condition.js in 0.001 s
[23:52:44] [INFO] addonpack_heroes:kubejs_scripts/wall_climb.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[23:52:44] [INFO] addonpack_heroes:kubejs_scripts/wall_climb.js#26: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/wall_climb.js in 0.038 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/use_genetic_blocker.js in 0.02 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stone_stat_index.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stone_index.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stockpile_debuffs.js in 0.004 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stockpile_ability.js in 0.032 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/stat_ability.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/speed_auto_attack.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_repair_damage.js in 0.005 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments_weapon.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments_cycle.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/spatial_armaments.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/shanti_virus_improved.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/shanti_virus.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/replication.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/radiation.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/punch_radius_damage.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/power_score_reset.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_storage.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_shift.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_end.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain_water.js in 0.008 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain_lava.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality_domain.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_reality.js in 0.003 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/pocket_eject.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/overload_condition.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ocular_tags.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/ocular_emulate.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/motion_abil_score.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/motion_abil.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/main_hand_condition.js in 0.0 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/intuitive_replication.js in 0.004 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/intuitive_copy.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/infinity.js in 0.002 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/in_pocket_condition.js in 0.001 s
[23:52:44] [INFO] Loaded script addonpack_heroes:kubejs_scripts/in__domain_pocket_condition.js in 0.0 s
